# Function summary
# addr  name  size_bytes  num_callers  num_callees  indirect_jumps

1910  FUN_1910                         69    1 callers    0 callees  0 indirect
195D  FUN_195d                        261    0 callers   11 callees  0 indirect
1A62  FUN_1a62                         53    1 callers    0 callees  0 indirect
1A97  init_1A97                        16    0 callers    1 callees  0 indirect
1B30  code_1B30                        32    0 callers    0 callees  0 indirect
1B50  FUN_1b50                         11    1 callers    0 callees  0 indirect
1B5B  FUN_1b5b                        138    1 callers    1 callees  0 indirect
1C40  FUN_1c40                        183    1 callers    0 callees  0 indirect
1CF7  FUN_1cf7                        147    1 callers    0 callees  0 indirect
1D9A  FUN_1d9a                         72    1 callers    1 callees  0 indirect
1DF5  FUN_1df5                         12    1 callers    0 callees  0 indirect
1E01  FUN_1e01                         41    0 callers    1 callees  0 indirect
1E2A  FUN_1e2a                         79    1 callers    0 callees  0 indirect
1E79  FUN_1e79                         59    1 callers    1 callees  0 indirect
1EB4  FUN_1eb4                         87    1 callers    0 callees  0 indirect
1F0B  FUN_1f0b                         37    1 callers    0 callees  0 indirect
1F48  FUN_1f48                          9    1 callers    1 callees  0 indirect
1F51  FUN_1f51                        146    1 callers    0 callees  0 indirect
3C00  loader_3C00                      61    1 callers    1 callees  0 indirect
3C3D  FUN_3c3d                         27    1 callers    2 callees  0 indirect
3C58  FUN_3c58                          9    2 callers    0 callees  0 indirect
3C61  FUN_3c61                         18    1 callers    0 callees  0 indirect
3C73  FUN_3c73                          2    3 callers    0 callees  0 indirect
3C75  FUN_3c75                          6    1 callers    0 callees  0 indirect
3C7B  FUN_3c7b                          8    4 callers    0 callees  0 indirect
3C83  FUN_3c83                         16    1 callers    0 callees  0 indirect
3C93  FUN_3c93                         30    2 callers    0 callees  0 indirect
3CB1  FUN_3cb1                         13    4 callers    0 callees  0 indirect
3CBE  FUN_3cbe                          5    4 callers    0 callees  0 indirect
3CC3  FUN_3cc3                          7    9 callers    0 callees  0 indirect
3CCA  FUN_3cca                          5    7 callers    0 callees  0 indirect
3CCF  FUN_3ccf                          5    1 callers    0 callees  0 indirect
3CD4  FUN_3cd4                          5    3 callers    0 callees  0 indirect
3CD9  FUN_3cd9                          5    2 callers    0 callees  0 indirect
3CDE  game_entry                      737    0 callers   46 callees  0 indirect
3FBF  FUN_3fbf                         14    1 callers    0 callees  0 indirect
3FCD  FUN_3fcd                         17    1 callers    1 callees  0 indirect
3FDE  FUN_3fde                         24    1 callers    0 callees  0 indirect
3FFA  FUN_3ffa                        138    4 callers    3 callees  0 indirect
4084  FUN_4084                         17    1 callers    1 callees  0 indirect
4095  FUN_4095                          4    1 callers    0 callees  0 indirect
4099  FUN_4099                         23    1 callers    0 callees  0 indirect
41DA  FUN_41da                         10    1 callers    0 callees  0 indirect
41E4  FUN_41e4                          4    1 callers    0 callees  0 indirect
41E8  FUN_41e8                         61    1 callers    2 callees  0 indirect
4258  FUN_4258                         14    1 callers    0 callees  0 indirect
43CB  FUN_43cb                         99    1 callers    0 callees  0 indirect
4430  FUN_4430                         23    0 callers    0 callees  0 indirect
4447  FUN_4447                         16    2 callers    0 callees  0 indirect
451D  FUN_451d                         54    1 callers    0 callees  0 indirect
45A1  FUN_45a1                         36    1 callers    0 callees  0 indirect
45C5  FUN_45c5                         41    1 callers    0 callees  0 indirect
45EE  FUN_45ee                         24    1 callers    0 callees  0 indirect
4606  FUN_4606                         36    1 callers    0 callees  0 indirect
47B2  FUN_47b2                         89    1 callers    1 callees  0 indirect
480B  FUN_480b                          4    3 callers    0 callees  0 indirect
480F  FUN_480f                          7    1 callers    0 callees  0 indirect
497D  FUN_497d                         35    1 callers    0 callees  0 indirect
49A0  FUN_49a0                         14    1 callers    1 callees  0 indirect
49AE  FUN_49ae                         12    1 callers    1 callees  0 indirect
49BA  FUN_49ba                          6    1 callers    0 callees  0 indirect
49C0  FUN_49c0                         14    1 callers    0 callees  0 indirect
49CE  FUN_49ce                         11    2 callers    1 callees  0 indirect
49D9  FUN_49d9                         21    1 callers    0 callees  0 indirect
4E18  FUN_4e18                          2    1 callers    0 callees  0 indirect
4E1A  FUN_4e1a                          2    1 callers    0 callees  0 indirect
4E1C  FUN_4e1c                         60    2 callers    0 callees  0 indirect
4E58  FUN_4e58                         44    1 callers    0 callees  0 indirect
4E84  FUN_4e84                         20    5 callers    0 callees  0 indirect
4E98  FUN_4e98                         10    1 callers    0 callees  0 indirect
4EA5  FUN_4ea5                          6    1 callers    0 callees  0 indirect
4EAB  FUN_4eab                         14    1 callers    1 callees  0 indirect
4F3F  FUN_4f3f                         96    0 callers    6 callees  0 indirect
4FCE  FUN_4fce                         18    2 callers    0 callees  0 indirect
4FE0  FUN_4fe0                         21    2 callers    0 callees  0 indirect
5000  stage_5000                        1    0 callers    0 callees  0 indirect
5433  FUN_5433                         90    3 callers    0 callees  0 indirect
55FC  FUN_55fc                         24    5 callers    0 callees  0 indirect
5614  FUN_5614                         83    1 callers    3 callees  0 indirect
5673  FUN_5673                         23    1 callers    0 callees  0 indirect
568A  FUN_568a                         37    1 callers    0 callees  0 indirect
56AF  FUN_56af                         37    1 callers    0 callees  0 indirect
5815  FUN_5815                          7    9 callers    0 callees  0 indirect
581C  FUN_581c                         95    2 callers    1 callees  0 indirect
587B  FUN_587b                        466    1 callers   16 callees  0 indirect
5A4D  FUN_5a4d                         12    1 callers    0 callees  0 indirect
5A59  FUN_5a59                         10    1 callers    0 callees  0 indirect
5A63  FUN_5a63                         21    1 callers    1 callees  0 indirect
5A78  FUN_5a78                         10    2 callers    0 callees  0 indirect
5B45  FUN_5b45                         39    1 callers    0 callees  0 indirect
5B6C  FUN_5b6c                        315    1 callers    9 callees  0 indirect
5CA7  FUN_5ca7                         83    1 callers    0 callees  0 indirect
5D02  FUN_5d02                         11    2 callers    2 callees  0 indirect
5D0D  FUN_5d0d                         28    2 callers    0 callees  0 indirect
5D29  FUN_5d29                         18    3 callers    1 callees  0 indirect
5D3B  FUN_5d3b                         13    1 callers    0 callees  0 indirect
5D50  FUN_5d50                        108    2 callers    1 callees  0 indirect
5DDB  FUN_5ddb                          5    1 callers    0 callees  0 indirect
5EFE  FUN_5efe                         31    1 callers    0 callees  0 indirect
5F1D  FUN_5f1d                       1656    1 callers   59 callees  0 indirect
65A8  FUN_65a8                         40    1 callers    4 callees  0 indirect
65D0  FUN_65d0                          2    1 callers    0 callees  0 indirect
65D2  FUN_65d2                         13    1 callers    0 callees  0 indirect
65DF  FUN_65df                         15    1 callers    0 callees  0 indirect
65EE  FUN_65ee                         13    1 callers    1 callees  0 indirect
65FB  FUN_65fb                         37    1 callers    2 callees  0 indirect
6620  FUN_6620                         34    1 callers    2 callees  0 indirect
6642  FUN_6642                         27    1 callers    2 callees  0 indirect
665D  FUN_665d                         63    1 callers    0 callees  0 indirect
669C  FUN_669c                         42    2 callers    2 callees  0 indirect
66C6  FUN_66c6                          2    4 callers    0 callees  0 indirect
66C8  FUN_66c8                         11    1 callers    0 callees  0 indirect
66D3  FUN_66d3                          2    1 callers    0 callees  0 indirect
66D5  FUN_66d5                          9    4 callers    0 callees  0 indirect
66DE  FUN_66de                         11    1 callers    0 callees  0 indirect
672D  FUN_672d                         35    1 callers    2 callees  0 indirect
6750  FUN_6750                         35    1 callers    1 callees  0 indirect
6773  FUN_6773                         80    2 callers    2 callees  0 indirect
67C3  FUN_67c3                         63    2 callers    4 callees  0 indirect
6802  FUN_6802                          3    1 callers    0 callees  0 indirect
6805  FUN_6805                         12    1 callers    0 callees  0 indirect
6811  FUN_6811                        108    1 callers    3 callees  0 indirect
687D  FUN_687d                         19    1 callers    0 callees  0 indirect
6890  FUN_6890                          9    1 callers    0 callees  0 indirect
6899  FUN_6899                         20    1 callers    0 callees  0 indirect
68AD  FUN_68ad                         34    1 callers    0 callees  0 indirect
68CF  FUN_68cf                         91    1 callers    0 callees  0 indirect
692A  FUN_692a                         41    1 callers    1 callees  0 indirect
69DD  FUN_69dd                          6    1 callers    0 callees  0 indirect
69E3  FUN_69e3                         14    1 callers    0 callees  0 indirect
69F1  FUN_69f1                         30    1 callers    0 callees  0 indirect
6A0F  FUN_6a0f                         24    1 callers    0 callees  0 indirect
6AE5  FUN_6ae5                          9    1 callers    1 callees  0 indirect
6B2E  FUN_6b2e                         25    1 callers    1 callees  0 indirect
6B47  FUN_6b47                         24    1 callers    0 callees  0 indirect
6B63  FUN_6b63                         14    1 callers    0 callees  0 indirect
6B71  FUN_6b71                         15    1 callers    0 callees  0 indirect
6B85  FUN_6b85                         35    1 callers    0 callees  0 indirect
6BA8  FUN_6ba8                         69    1 callers    1 callees  0 indirect
6BED  FUN_6bed                         96    1 callers    1 callees  0 indirect
6C4D  FUN_6c4d                         69    1 callers    2 callees  0 indirect
6C92  FUN_6c92                         27    1 callers    0 callees  0 indirect
6DDF  FUN_6ddf                         21    2 callers    0 callees  0 indirect
6DF4  FUN_6df4                         27    1 callers    1 callees  0 indirect
6FBF  FUN_6fbf                        136    1 callers    2 callees  0 indirect
7047  FUN_7047                         34    2 callers    0 callees  0 indirect
7069  FUN_7069                         64    1 callers    2 callees  0 indirect
70A9  FUN_70a9                         10    1 callers    0 callees  0 indirect
70B3  FUN_70b3                         52    1 callers    0 callees  0 indirect
70E7  FUN_70e7                         18    2 callers    0 callees  0 indirect
712D  FUN_712d                         27    3 callers    0 callees  0 indirect
7238  FUN_7238                         27    3 callers    0 callees  0 indirect
73C8  FUN_73c8                        152    1 callers    5 callees  0 indirect
7460  FUN_7460                         35    2 callers    0 callees  0 indirect
7483  FUN_7483                         21    1 callers    0 callees  0 indirect
7498  FUN_7498                         63    1 callers    2 callees  0 indirect
74D7  FUN_74d7                        100    1 callers    0 callees  0 indirect
753B  FUN_753b                         29    1 callers    0 callees  0 indirect
7558  FUN_7558                         35    1 callers    1 callees  0 indirect
757B  FUN_757b                         13    2 callers    1 callees  0 indirect
7588  FUN_7588                         29    1 callers    0 callees  0 indirect
75A5  FUN_75a5                         19    1 callers    0 callees  0 indirect
75B8  FUN_75b8                         24    1 callers    0 callees  0 indirect
