addr,reads,writes,functions
$0002,0,1,"game_entry"
$0003,2,3,"FUN_587b | FUN_5b6c"
$0004,12,3,"game_entry | FUN_587b | FUN_5f1d | FUN_6750 | FUN_67c3 | FUN_7b54 | FUN_a31e"
$0005,0,1,"game_entry"
$0012,0,1,"FUN_195d"
$0013,5,2,"FUN_195d | code_1B30 | FUN_1b5b"
$0014,15,10,"FUN_195d | code_1B30 | FUN_1b5b | FUN_3cb1 | FUN_5f1d | FUN_7854 | FUN_7a17 | FUN_7c01"
$0022,0,1,"FUN_4430"
$0023,1,0,"FUN_ac93"
$0024,1,0,"FUN_ac93"
$0025,1,1,"FUN_7854 | FUN_a31e"
$0026,2,2,"FUN_7854 | FUN_a31e | FUN_aa95"
$0027,1,0,"FUN_a31e"
$0028,2,0,"FUN_a31e | FUN_ac93"
$0029,3,2,"FUN_73c8 | FUN_a31e | FUN_aa95 | FUN_ac93"
$002E,1,2,"FUN_73c8 | FUN_aa95"
$0033,1,0,"FUN_ac93"
$0034,4,1,"game_entry | FUN_73c8 | FUN_a31e | FUN_a822 | FUN_ac93"
$0035,0,1,"FUN_a31e"
$0036,1,0,"FUN_ac42"
$003A,3,1,"game_entry | FUN_73c8 | FUN_7ab8 | FUN_7b54"
$003B,1,2,"FUN_7ab8 | FUN_a99c"
$003C,5,3,"FUN_7854 | FUN_7a17 | FUN_7aa8"
$003D,9,6,"game_entry | FUN_7854 | FUN_7a17 | FUN_a31e | FUN_a99c"
$003E,10,0,"game_entry | FUN_7854 | FUN_7a17 | FUN_7a89 | FUN_7c01 | FUN_7ec7 | FUN_a822 | FUN_a90a"
$003F,3,4,"FUN_7854 | FUN_7c01 | FUN_a63b"
$0040,4,3,"FUN_7854 | FUN_7c01 | FUN_a63b"
$0041,4,11,"game_entry | FUN_5b6c | FUN_7854 | FUN_8237 | FUN_a31e | FUN_a99c"
$0042,0,3,"game_entry"
$0043,0,1,"FUN_5ddb"
$0044,0,11,"game_entry | FUN_47b2 | FUN_7854 | FUN_7a17 | FUN_7aa8 | FUN_7ab8"
$0045,1,4,"FUN_497d | FUN_49c0 | FUN_5f1d | FUN_7af4 | FUN_7b7d"
$0046,1,6,"FUN_497d | FUN_49c0 | FUN_5f1d | FUN_7af4 | FUN_7b7d"
$0047,0,4,"FUN_7854 | FUN_7ab8"
$0049,4,3,"game_entry | FUN_587b | FUN_5b45 | FUN_5ca7"
$004A,2,5,"game_entry | FUN_4f3f | FUN_7f85 | FUN_ac42"
$004B,2,0,"FUN_3ffa"
$004C,2,12,"FUN_3cb1 | FUN_3cc3 | FUN_41e8 | FUN_5f1d | FUN_6df4 | FUN_73c8"
$004D,2,3,"FUN_73c8 | FUN_7854 | FUN_a31e | FUN_a99c"
$004E,5,6,"FUN_7c01 | FUN_7c9a | FUN_7d38 | FUN_a822 | FUN_a8af | FUN_a90a | FUN_ab9a"
$004F,7,9,"FUN_7c01 | FUN_7c9a | FUN_7d38 | FUN_a822 | FUN_a8af | FUN_a90a | FUN_ab9a"
$0050,8,8,"FUN_7854 | FUN_7c01 | FUN_7c9a | FUN_a822 | FUN_a90a | FUN_ab7b | FUN_ab9a"
$0051,15,7,"FUN_7854 | FUN_7c01 | FUN_7c9a | FUN_a822 | FUN_a8af | FUN_a90a | FUN_ab7b | FUN_ab9a"
$0052,2,4,"FUN_7c9a | FUN_ab9a"
$0053,5,6,"FUN_7c9a | FUN_ab9a"
$0054,2,4,"FUN_7c9a | FUN_ab9a"
$0055,4,4,"FUN_7c9a | FUN_ab9a"
$0058,2,6,"FUN_7d38 | FUN_a6d3 | FUN_a822 | FUN_a90a | FUN_a99c | FUN_ab7b"
$0059,3,5,"FUN_7c01 | FUN_a63b"
$005A,6,6,"FUN_7854 | FUN_7c01 | FUN_a63b"
$005B,2,3,"FUN_a99c | FUN_aad4"
$005C,2,7,"FUN_a99c | FUN_aad4 | FUN_aacf"
$005E,1,3,"FUN_7ec7 | FUN_7f85"
$005F,2,4,"FUN_7ec7 | FUN_7f85"
$0060,3,1,"FUN_b33d"
$0063,2,3,"FUN_4e98 | FUN_73c8 | FUN_a31e | FUN_ac42"
$0064,2,1,"FUN_a31e | FUN_a613 | FUN_ac42"
$0065,0,1,"FUN_a31e"
$0066,2,2,"FUN_a31e | FUN_ac42"
$0067,0,1,"FUN_a31e"
$0068,0,2,"FUN_a31e | FUN_a613"
$0069,0,2,"FUN_a31e | FUN_a613"
$006A,2,3,"FUN_4e98 | FUN_73c8 | FUN_a31e | FUN_a822"
$006C,7,4,"game_entry | FUN_587b | FUN_5b6c | FUN_5f1d"
$006D,17,8,"game_entry | FUN_587b | FUN_5a63 | FUN_5f1d | FUN_65a8 | FUN_67c3 | FUN_70b3 | FUN_7498"
$006E,0,1,"FUN_41e8"
$006F,0,1,"FUN_4430"
$0071,1,9,"game_entry | FUN_5f1d | FUN_65a8 | FUN_65ee"
$0072,4,1,"game_entry | FUN_3ffa | FUN_73c8 | FUN_7ab8"
$0073,1,2,"FUN_5433 | FUN_55fc"
$0074,0,1,"FUN_5433"
$0075,2,6,"FUN_9ba0 | FUN_9bdb | FUN_9c55"
$0076,4,4,"FUN_9bdb | FUN_9c55"
$0077,6,4,"FUN_9ba0 | FUN_9bdb | FUN_9c55"
$0078,6,4,"FUN_9ba0 | FUN_9bdb | FUN_9c55"
$0079,3,4,"FUN_73c8 | FUN_7854 | FUN_a31e | FUN_a63b"
$007A,1,2,"FUN_7854"
$007B,2,3,"FUN_7854 | FUN_7a17"
$007C,2,2,"FUN_7854 | FUN_7a17"
$007D,2,4,"FUN_7854 | FUN_7a17 | FUN_7a89"
$007E,2,5,"game_entry | FUN_4f3f | FUN_7854 | FUN_a31e | FUN_a99c"
$0080,7,23,"FUN_195d | code_1B30 | FUN_5f1d | FUN_665d | FUN_669c | FUN_66c8 | FUN_6773 | FUN_74d7"
$0081,5,25,"FUN_1c40 | FUN_1cf7 | FUN_1eb4 | FUN_5f1d | FUN_665d | FUN_669c | FUN_66c8 | FUN_6773"
$0082,22,22,"FUN_1c40 | FUN_1cf7 | FUN_1eb4 | FUN_5f1d | FUN_665d | FUN_6811 | FUN_6c92 | FUN_74d7"
$0083,12,15,"FUN_1c40 | FUN_1eb4 | FUN_5f1d | FUN_665d | FUN_7f85 | FUN_8168 | FUN_a31e | FUN_b172"
$0084,28,43,"FUN_1c40 | FUN_1eb4 | FUN_669c | FUN_6773 | FUN_6805 | FUN_6811 | FUN_6a0f | FUN_6ba8"
$0085,14,18,"FUN_1c40 | FUN_6773 | FUN_6805 | FUN_6811 | FUN_687d | FUN_692a | FUN_6ba8 | FUN_6bed"
$0086,5,11,"FUN_1c40 | FUN_69e3 | FUN_69f1 | FUN_76cb | FUN_7f85 | FUN_a31e | FUN_b172 | FUN_b2cc"
$0087,2,7,"FUN_195d | FUN_7f85 | FUN_a0a3 | FUN_ac93"
$0088,2,4,"FUN_195d | FUN_5f1d | FUN_7f85 | FUN_9e54 | FUN_ac93"
$0089,6,12,"FUN_1c40 | FUN_1d9a | FUN_5f1d | FUN_7f85 | FUN_a0a3 | FUN_ac93"
$008A,1,10,"FUN_1c40 | FUN_1d9a | FUN_5f1d | FUN_7f85 | FUN_9e54 | FUN_ac93"
$008B,10,19,"FUN_1c40 | FUN_1cf7 | FUN_1d9a | FUN_5f1d | FUN_69dd | FUN_69e3 | FUN_69f1 | FUN_76cb"
$008C,5,6,"FUN_1910 | FUN_1b5b | FUN_7f85 | FUN_80c5 | FUN_9e54 | FUN_ac93"
$008D,8,8,"FUN_1910 | FUN_5f1d | FUN_7f85 | FUN_80c5 | FUN_b172 | FUN_b2cc"
$008E,8,5,"FUN_1910 | FUN_5f1d | FUN_7f85 | FUN_80c5 | FUN_b172 | FUN_b2cc"
$008F,6,5,"FUN_1910 | FUN_b172 | FUN_b2cc"
$0090,8,10,"FUN_1e2a | FUN_1e79 | FUN_1f51 | FUN_5f1d | FUN_70e7 | FUN_b172 | FUN_b2cc"
$0091,9,11,"FUN_1e2a | FUN_1e79 | FUN_1f51 | FUN_587b | FUN_5b6c | FUN_5f1d | FUN_782a | FUN_b172"
$0092,6,14,"FUN_1e2a | FUN_1f51 | FUN_6620 | FUN_66c6 | FUN_672d | FUN_6750 | FUN_67c3 | FUN_6811"
$0093,4,6,"FUN_1e2a | FUN_1f51 | FUN_66d3 | FUN_6773 | FUN_6811"
$0094,7,17,"FUN_1e2a | FUN_5f1d | FUN_65fb | FUN_6642 | FUN_66d5 | FUN_672d | FUN_6773 | FUN_6811"
$0095,5,11,"FUN_1e2a | FUN_5f1d | FUN_65a8 | FUN_6773 | FUN_7d38 | FUN_ae53 | FUN_b172 | FUN_b33d"
$0096,2,20,"FUN_1f0b | FUN_5f1d | FUN_65fb | FUN_6642 | FUN_6811 | FUN_68cf | FUN_692a | FUN_ae53"
$0097,2,4,"FUN_1f0b | FUN_5f1d | FUN_6773"
$0098,6,6,"FUN_1df5 | FUN_1e01 | FUN_1e2a | FUN_5f1d | FUN_6fbf | FUN_70a9"
$0099,1,1,"FUN_6fbf"
$009A,7,8,"FUN_1df5 | FUN_1e01 | FUN_1e2a | FUN_6fbf | FUN_7047 | FUN_7069"
$009B,2,12,"FUN_1df5 | FUN_1e01 | FUN_5f1d | FUN_65a8 | FUN_6fbf | FUN_7047 | FUN_7069"
$009C,9,12,"FUN_1b5b | FUN_1e01 | FUN_6620 | FUN_6642 | FUN_665d | FUN_669c | FUN_6750 | FUN_6773"
$009D,4,6,"FUN_195d | FUN_1eb4 | FUN_6620 | FUN_6642 | FUN_665d | FUN_669c | FUN_692a | FUN_6ddf"
$009E,4,4,"FUN_1eb4 | FUN_6642 | FUN_665d | FUN_669c | FUN_692a | FUN_6ddf"
$009F,7,11,"FUN_1eb4 | FUN_6642 | FUN_665d | FUN_669c | FUN_692a | FUN_6ddf | FUN_a11f | FUN_ae53"
$00A0,11,5,"FUN_1eb4 | FUN_65fb | FUN_6620 | FUN_6ddf | FUN_9e54 | FUN_a0a3 | FUN_ac93"
$00A1,10,2,"FUN_1f51 | FUN_9e54 | FUN_a0a3 | FUN_ac93"
$00A2,8,3,"FUN_1f51 | FUN_9e54 | FUN_a0a3 | FUN_ac93"
$00A3,8,1,"FUN_9e54 | FUN_a0a3 | FUN_ac93"
$00A4,2,1,"FUN_ac93 | FUN_ad2b"
$00A5,2,2,"FUN_6b71 | FUN_ac93 | FUN_ad2b"
$00A6,2,4,"FUN_ac93 | FUN_ad2b"
$00A7,3,1,"FUN_a31e | FUN_a63b | FUN_a90a"
$00A8,12,18,"FUN_9c97 | FUN_a0a3"
$00A9,12,18,"FUN_9c97 | FUN_a0a3"
$00AA,9,5,"FUN_9c97 | FUN_a0a3"
$00AB,10,5,"FUN_9c97 | FUN_a0a3"
$00AC,0,9,"FUN_9c97"
$00AD,1,1,"FUN_9c97"
$00AE,10,5,"FUN_9d6f | FUN_a11f"
$00AF,11,5,"FUN_9d6f | FUN_a11f"
$00B0,10,21,"FUN_9d6f | FUN_a11f"
$00B1,18,21,"FUN_9d6f | FUN_a11f"
$00B2,16,16,"FUN_9d6f | FUN_a11f"
$00B3,1,1,"FUN_7d38 | FUN_a31e"
$00B4,0,1,"FUN_9e54"
$00B5,29,46,"FUN_5f1d | FUN_9e54 | FUN_a11f | FUN_a6d3 | FUN_ad2b | FUN_b172 | FUN_b2cc | FUN_b33d"
$00B6,5,5,"FUN_9e54 | FUN_b2cc"
$00B7,7,15,"FUN_195d | loader_3C00 | FUN_3c93 | game_entry | FUN_5f1d | FUN_665d | FUN_687d | FUN_6bed"
$00B8,5,5,"FUN_665d | FUN_6bed | FUN_6c4d"
$00B9,7,11,"FUN_5f1d | FUN_6642 | FUN_665d | FUN_68cf | FUN_6ba8 | FUN_6bed | FUN_73c8"
$00BA,2,2,"FUN_6ba8 | FUN_6bed | FUN_73c8"
$00BB,3,18,"FUN_195d | FUN_3c58 | FUN_3c61 | FUN_3ffa | FUN_4084 | FUN_43cb | FUN_451d | FUN_47b2"
$00BC,0,13,"FUN_195d | FUN_3c58 | FUN_3c61 | FUN_3ffa | FUN_4084 | FUN_43cb | FUN_5f1d | FUN_7558"
$00BD,4,14,"FUN_195d | FUN_3c61 | FUN_3ffa | FUN_4084 | FUN_43cb | FUN_4447 | FUN_451d | FUN_5f1d"
$00BE,2,10,"FUN_195d | FUN_3c61 | FUN_3ffa | FUN_4084 | FUN_43cb | FUN_4447 | FUN_5f1d | FUN_7558"
$00BF,4,6,"FUN_3ffa | FUN_4099 | FUN_43cb | FUN_4447 | FUN_451d"
$00C0,1,2,"FUN_43cb"
$00C1,13,33,"loader_3C00 | FUN_3c83 | FUN_3c93 | game_entry | FUN_45a1 | FUN_4e84 | FUN_5f1d | FUN_65d2"
$00C2,6,19,"loader_3C00 | FUN_3c83 | FUN_3c93 | FUN_45a1 | FUN_4f3f | FUN_4fe0 | FUN_5f1d | FUN_68cf"
$00C3,10,31,"loader_3C00 | FUN_3c83 | FUN_3c93 | game_entry | FUN_587b | FUN_5f1d | FUN_65d2 | FUN_65df"
$00C4,6,26,"loader_3C00 | FUN_3c83 | FUN_3c93 | game_entry | FUN_5f1d | FUN_65d2 | FUN_65df | FUN_68cf"
$00C5,1,15,"FUN_49a0 | FUN_587b | FUN_5a63 | FUN_5efe | FUN_6750 | FUN_69e3 | FUN_76cb"
$00C6,0,12,"FUN_49a0 | FUN_587b | FUN_5a63 | FUN_6750 | FUN_69e3 | FUN_69f1 | FUN_76cb"
$00C7,0,1,"game_entry"
$00CC,0,1,"FUN_4f3f"
$00D4,0,2,"FUN_4f3f"
$00D8,0,4,"FUN_47b2 | FUN_5f1d | FUN_782a"
$00D9,0,1,"FUN_3fbf"
$00DA,0,1,"FUN_a99c"
$00DB,1,4,"FUN_7854 | FUN_7af4 | FUN_7b94 | FUN_a99c"
$00DC,0,3,"game_entry | FUN_5f1d | FUN_a99c"
$00DD,4,3,"game_entry | FUN_5f1d | FUN_a99c"
$00DE,1,2,"game_entry | FUN_41e8"
$00DF,0,8,"FUN_665d | FUN_669c | FUN_6811 | FUN_74d7"
$00E2,5,4,"game_entry | FUN_587b | FUN_5b6c | FUN_5f1d | FUN_782a"
$00E3,2,3,"FUN_5f1d"
$00E4,4,3,"game_entry | FUN_587b | FUN_5b6c"
$00E5,4,2,"FUN_4f3f | FUN_587b | FUN_712d"
$00E6,0,1,"game_entry"
$00E7,2,2,"FUN_5d02 | FUN_5f1d | FUN_70e7 | FUN_712d"
$00EA,1,1,"FUN_b172 | FUN_b33d"
$00F4,0,1,"FUN_b172"
$0600,3,1,"FUN_497d | FUN_49c0 | FUN_587b"
$0601,3,1,"FUN_497d | FUN_49a0 | FUN_587b"
$0602,2,1,"FUN_497d | FUN_49ae"
$0603,2,1,"FUN_497d | FUN_49ae"
$0604,2,1,"FUN_587b | FUN_75b8"
$0605,1,0,"FUN_587b"
$0606,1,0,"FUN_587b"
$0607,1,0,"FUN_587b"
$0608,1,0,"FUN_587b"
$0609,3,3,"FUN_5b6c | FUN_5f1d"
$060A,2,1,"FUN_587b | FUN_5f1d"
$060B,6,2,"game_entry | FUN_5f1d"
$060C,1,2,"game_entry | FUN_587b"
$060D,1,1,"FUN_587b | FUN_67c3"
$060E,1,1,"FUN_587b | FUN_67c3"
$060F,1,1,"FUN_587b | FUN_67c3"
$0610,1,1,"FUN_587b | FUN_67c3"
$0617,0,1,"FUN_75f5"
$0618,0,1,"FUN_75f5"
$0619,1,1,"FUN_49c0 | FUN_49d9"
$061A,1,1,"FUN_75f5 | FUN_7ec7"
$061B,1,1,"FUN_75f5 | FUN_7854"
$061C,2,1,"FUN_75f5 | FUN_a31e"
$061D,1,1,"game_entry | FUN_5d50"
$061E,1,1,"game_entry | FUN_5d50"
$061F,1,1,"FUN_75f5 | FUN_7af4"
$0620,1,2,"FUN_75f5 | FUN_7b39"
$0621,1,1,"FUN_75f5 | FUN_a31e"
$0622,0,3,"FUN_75f5 | FUN_a31e"
$0623,1,1,"FUN_7498 | FUN_75f5"
$0624,1,1,"FUN_75f5 | FUN_a99c"
$0625,1,1,"FUN_4430 | FUN_75f5"
$0626,1,1,"FUN_5f1d"
$0627,3,2,"game_entry | FUN_5f1d | FUN_7af4"
$0628,3,4,"FUN_3ffa | FUN_75d0 | FUN_75e9 | FUN_75f5 | FUN_7af4"
$0629,4,2,"FUN_5f1d | FUN_7af4"
$062A,3,2,"FUN_5f1d | FUN_75f5"
$062B,3,2,"game_entry | FUN_3ffa | FUN_7af4 | FUN_7b54"
$062C,0,1,"FUN_5f1d"
$062E,2,1,"FUN_43cb"
$062F,3,2,"game_entry | FUN_41da | FUN_41e8"
$0632,0,2,"FUN_7ec7 | FUN_7f60"
$0633,3,2,"FUN_3fcd | FUN_5f1d | FUN_7854"
$0634,0,2,"FUN_7ec7 | FUN_7f60"
$0635,0,1,"FUN_7ec7"
$0637,0,1,"FUN_7ec7"
$0638,0,1,"FUN_7ec7"
$0639,0,1,"FUN_7ec7"
$063A,0,1,"FUN_7ec7"
$063D,1,0,"FUN_3fcd"
$063E,0,2,"FUN_47b2"
$063F,1,1,"FUN_5b45"
$0641,2,2,"FUN_3ffa | FUN_5f1d | FUN_7b7d"
$0642,1,4,"game_entry | FUN_3ffa | FUN_7854 | FUN_a31e"
$0643,0,1,"FUN_73c8"
$0644,1,1,"FUN_587b | FUN_5f1d"
$0645,1,1,"FUN_3ffa"
$0646,1,1,"FUN_3ffa"
$0647,1,1,"FUN_3ffa"
$0651,0,1,"FUN_7238"
$0653,0,1,"FUN_7238"
